,period,timedelta,dst,labels
0,test_a,0 days 00:00:00,16,low
1,test_a,0 days 01:00:00,15,low
2,test_a,0 days 02:00:00,15,low
3,test_a,0 days 03:00:00,14,low
4,test_a,0 days 04:00:00,14,low
5,test_a,0 days 05:00:00,14,low
6,test_a,0 days 06:00:00,14,low
7,test_a,0 days 07:00:00,16,low
8,test_a,0 days 08:00:00,19,low
9,test_a,0 days 09:00:00,23,low
10,test_a,0 days 10:00:00,25,low
11,test_a,0 days 11:00:00,22,low
12,test_a,0 days 12:00:00,9,low
13,test_a,0 days 13:00:00,9,low
14,test_a,0 days 14:00:00,10,low
15,test_a,0 days 15:00:00,15,low
16,test_a,0 days 16:00:00,14,low
17,test_a,0 days 17:00:00,15,low
18,test_a,0 days 18:00:00,18,low
19,test_a,0 days 19:00:00,27,low
20,test_a,0 days 20:00:00,29,low
21,test_a,0 days 21:00:00,37,low
22,test_a,0 days 22:00:00,30,low
23,test_a,0 days 23:00:00,26,low
24,test_a,1 days 00:00:00,22,low
25,test_a,1 days 01:00:00,-12,low
26,test_a,1 days 02:00:00,-27,low
27,test_a,1 days 03:00:00,-21,low
28,test_a,1 days 04:00:00,-15,low
29,test_a,1 days 05:00:00,-22,low
30,test_a,1 days 06:00:00,-26,low
31,test_a,1 days 07:00:00,-21,low
32,test_a,1 days 08:00:00,-14,low
33,test_a,1 days 09:00:00,-7,low
34,test_a,1 days 10:00:00,-7,low
35,test_a,1 days 11:00:00,-3,low
36,test_a,1 days 12:00:00,-2,low
37,test_a,1 days 13:00:00,-7,low
38,test_a,1 days 14:00:00,-10,low
39,test_a,1 days 15:00:00,-11,low
40,test_a,1 days 16:00:00,-14,low
41,test_a,1 days 17:00:00,-19,low
42,test_a,1 days 18:00:00,-26,low
43,test_a,1 days 19:00:00,-24,low
44,test_a,1 days 20:00:00,-19,low
45,test_a,1 days 21:00:00,-19,low
46,test_a,1 days 22:00:00,-14,low
47,test_a,1 days 23:00:00,-12,low
48,test_a,2 days 00:00:00,-11,low
49,test_a,2 days 01:00:00,-9,low
50,test_a,2 days 02:00:00,-7,low
51,test_a,2 days 03:00:00,-7,low
52,test_a,2 days 04:00:00,-6,low
53,test_a,2 days 05:00:00,-9,low
54,test_a,2 days 06:00:00,-15,low
55,test_a,2 days 07:00:00,-12,low
56,test_a,2 days 08:00:00,-7,low
57,test_a,2 days 09:00:00,-3,low
58,test_a,2 days 10:00:00,0,low
59,test_a,2 days 11:00:00,-1,low
60,test_a,2 days 12:00:00,-1,low
61,test_a,2 days 13:00:00,-2,low
62,test_a,2 days 14:00:00,-4,low
63,test_a,2 days 15:00:00,-4,low
64,test_a,2 days 16:00:00,-1,low
65,test_a,2 days 17:00:00,-1,low
66,test_a,2 days 18:00:00,-7,low
67,test_a,2 days 19:00:00,-11,low
68,test_a,2 days 20:00:00,-9,low
69,test_a,2 days 21:00:00,-10,low
70,test_a,2 days 22:00:00,-10,low
